Year,State,District,Style,Product Category,Sale Order Qty,Delivered Qty
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,BB01,FG-BRA,864,852
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,CA01,FG-BRA,1282,1198
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,CL04,FG-SLIP,120,103
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,CMFT,FG-BRA,498,498
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,CRSS,FG-BRA,760,754
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,EC07,FG-BRA,282,246
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,EFRT,FG-BRA,222,222
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,ES02,FG-BRA,1614,1599
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,ES06,FG-BRA,310,276
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,ES21,FG-BRA,595,495
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,FLFG,FG-BRA,282,282
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,FRTH,FG-BRA,474,474
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,IECDPL,FG-PANTIES,396,160
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,IECDPR,FG-PANTIES,176,100
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,IELYPC,FG-PANTIES,36,24
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,IELYRC,FG-PANTIES,44,0
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,IN01,FG-SLIP,107,94
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,IN08,FG-SLIP,144,142
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,IN09,FG-SLIP,54,54
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,IN11,FG-SLIP,211,44
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,LOVE,FG-BRA,576,576
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,M002,FG-SLIP,120,35
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,NGSL,FG-SLIP,330,204
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,NHPB,FG-BRA,372,156
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,NTHK,FG-BRA,402,330
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,NTRL,FG-BRA,636,636
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,OECDPL,FG-PANTIES,106,48
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,OECDPR,FG-PANTIES,112,80
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,OELYPC,FG-PANTIES,24,0
FY 24-25,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,TRND,FG-BRA,570,570
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,3NSL,FG-SLIP,4452,2415
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,BB01,FG-BRA,37817,28385
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,BL01,FG-BRA,9,6
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,BUTI,FG-BRA,309,309
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,CA01,FG-BRA,32991,28373
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,CA05,FG-BRA,6663,6350
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,CA09,FG-BRA,168,129
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,CA11,FG-BRA,40,36
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,CA12,FG-BRA,9186,6424
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,CA15,FG-BRA,399,220
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,CA80,FG-BRA,1,1
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,CB02,FG-BRA,6,6
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,CB03,FG-BRA,6,4
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,CHRM,FG-BRA,48,48
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,CLSI,FG-BRA,168,144
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,CMFT,FG-BRA,117,117
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,CNDI,FG-BRA,5436,5305
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,CNDR,FG-BRA,211,207
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,CRSS,FG-BRA,72,60
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,CUPS,FG-BRA,4,4
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,DEFC,FG-BRA,1603,996
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,DEFM,FG-BRA,8026,7111
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,DEFT,FG-BRA,10799,8976
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,EC05,FG-BRA,436,354
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,EC06,FG-BRA,8692,6463
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,EC07,FG-BRA,4443,3543
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,EFRT,FG-BRA,72,72
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,ER16,FG-BRA,24,24
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,ERCA,FG-BRA,552,531
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,ES02,FG-BRA,7476,7029
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,ES06,FG-BRA,27907,26772
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,ES11,FG-BRA,18,12
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,ES18,FG-BRA,126,124
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,ES21,FG-BRA,11182,8731
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,F909,FG-BRA,1183,1168
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,FELZ,FG-BRA,76,69
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,FLFG,FG-BRA,34,31
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,GLRI,FG-BRA,117,117
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,GLRR,FG-BRA,39,39
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,IECDPL,FG-PANTIES,1976,856
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,IECDPR,FG-PANTIES,12454,6833
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,IELYPC,FG-PANTIES,1474,197
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,IELYPR,FG-PANTIES,32,0
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,IELYRC,FG-PANTIES,336,0
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,IN01,FG-BRA,340,339
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,IN01,FG-SLIP,100,62
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,IN05,FG-BRA,11,11
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,IN07,FG-SLIP,891,623
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,IN09,FG-SLIP,144,122
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,IN11,FG-SLIP,1402,480
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,IN14,FG-SLIP,872,809
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,IN15,FG-SLIP,21154,17150
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,IN16,FG-SLIP,72,72
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,IN21,FG-BRA,4174,3725
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,IN29,FG-BRA,13168,12608
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,KRKR,FG-BRA,108,75
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,LL05,FG-BRA,4,0
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,LL06,FG-BRA,2,0
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,M001,FG-SLIP,45,27
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,M002,FG-SLIP,47,43
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,NGSL,FG-SLIP,5228,3279
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,NHPB,FG-BRA,92,67
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,NORA,FG-BRA,522,521
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,NOVA,FG-BRA,731,266
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,NRPB,FG-BRA,1348,1054
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,OECDPL,FG-PANTIES,1669,595
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,OECDPR,FG-PANTIES,4590,2321
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,OELYPC,FG-PANTIES,44,0
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,OELYRC,FG-PANTIES,44,20
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,PRTI,FG-BRA,591,582
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,PRTR,FG-BRA,108,108
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,SF01,FG-BRA,6,6
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,SW02,FG-PETTICOAT,766,483
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,SW03,FG-PETTICOAT,15,15
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,TB01,FG-BRA,239,134
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,TEEN,FG-BRA,115,115
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,UC02,FG-BRA,240,107
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,UC05,FG-BRA,123,65
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,UC09,FG-BRA,4281,3070
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,UC11,FG-BRA,92,75
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,UF01,FG-BRA,2209,639
FY 24-25,ANDHRA PRADESH,ANDHRA PRADESH,USWP,FG-SHORTS,30,30
FY 24-25,ASSAM,ASSAM,3NSL,FG-SLIP,9,2
FY 24-25,ASSAM,ASSAM,BL01,FG-BRA,60,50
FY 24-25,ASSAM,ASSAM,CA01,FG-BRA,157,157
FY 24-25,ASSAM,ASSAM,CA05,FG-BRA,120,119
FY 24-25,ASSAM,ASSAM,CA11,FG-BRA,20,17
FY 24-25,ASSAM,ASSAM,CA12,FG-BRA,47,47
FY 24-25,ASSAM,ASSAM,CB02,FG-BRA,70,70
FY 24-25,ASSAM,ASSAM,CB03,FG-BRA,12,7
FY 24-25,ASSAM,ASSAM,CRSS,FG-BRA,94,94
FY 24-25,ASSAM,ASSAM,DEFC,FG-BRA,10,10
FY 24-25,ASSAM,ASSAM,EC05,FG-BRA,80,79
FY 24-25,ASSAM,ASSAM,EC06,FG-BRA,102,102
FY 24-25,ASSAM,ASSAM,EC07,FG-BRA,46,37
FY 24-25,ASSAM,ASSAM,ER16,FG-BRA,153,147
FY 24-25,ASSAM,ASSAM,ES02,FG-BRA,32,28
FY 24-25,ASSAM,ASSAM,ES06,FG-BRA,20,20
FY 24-25,ASSAM,ASSAM,ES11,FG-BRA,75,75
FY 24-25,ASSAM,ASSAM,ES18,FG-BRA,35,35
FY 24-25,ASSAM,ASSAM,ES21,FG-BRA,206,206
FY 24-25,ASSAM,ASSAM,F909,FG-BRA,93,92
FY 24-25,ASSAM,ASSAM,IECDPR,FG-PANTIES,52,36
FY 24-25,ASSAM,ASSAM,IN01,FG-BRA,48,48
FY 24-25,ASSAM,ASSAM,IN05,FG-BRA,89,88
FY 24-25,ASSAM,ASSAM,IN21,FG-BRA,99,99
FY 24-25,ASSAM,ASSAM,IN22,FG-SLIP,24,12
FY 24-25,ASSAM,ASSAM,IN27,FG-BRA,39,39
FY 24-25,ASSAM,ASSAM,IN29,FG-BRA,45,45
FY 24-25,ASSAM,ASSAM,KRKR,FG-BRA,46,46
FY 24-25,ASSAM,ASSAM,LVHK,FG-BRA,33,33
FY 24-25,ASSAM,ASSAM,NGSL,FG-SLIP,12,6
FY 24-25,ASSAM,ASSAM,NHPB,FG-BRA,20,13
FY 24-25,ASSAM,ASSAM,NORA,FG-BRA,15,15
FY 24-25,ASSAM,ASSAM,NRPB,FG-BRA,116,93
FY 24-25,ASSAM,ASSAM,NTHK,FG-BRA,96,96
FY 24-25,ASSAM,ASSAM,NTRL,FG-BRA,92,92
FY 24-25,ASSAM,ASSAM,OECDPL,FG-PANTIES,64,64
FY 24-25,ASSAM,ASSAM,OECDPR,FG-PANTIES,79,74
FY 24-25,ASSAM,ASSAM,TEEN,FG-BRA,12,12
FY 24-25,ASSAM,ASSAM,TRND,FG-BRA,80,80
